Time,!a,!b,!c
0,0,0,0
40.0794450257135,3,1,0
96.8546854945117,7,1,0
133.590061209569,9,1,0
155.495199161814,13,1,0
175.718633473753,15,1,0
199.074434303754,16,1,0
229.050253547842,19,1,0
253.224399678704,21,1,0
279.836579658388,24,1,0
301.18859367996,27,1,0
329.850143538883,31,1,0
361.889835434959,33,1,0
382.035173035451,31,1,0
407.728525682161,33,1,0
434.717740120276,34,1,0
473.991470201835,32,1,0
497.220234630011,31,1,0
517.854347273547,35,1,0
538.36968964546,33,1,0
566.99807619557,39,1,0
593.688271660714,38,0,0
614.27559156005,41,0,0
635.400341056733,43,0,0
660.466964762431,43,0,0
685.893371200817,44,0,0
725.947469405878,46,0,0
751.105865252301,44,0,0
789.799329793672,42,0,0
820.86530127453,44,0,0
849.189073548482,49,0,0
871.255727254636,48,0,0
894.431045213732,49,0,0
918.652562136175,51,0,0
939.450018957529,52,0,0
961.227560455653,54,0,0
988.186909024013,56,0,0
1013.25538947576,55,0,0
1035.08639623713,55,0,0
1064.81169916669,55,0,0
1086.70948682938,56,0,0
1112.77967303155,57,0,0
1132.87509175292,57,0,1
1153.56979733278,56,0,5
1174.88345145681,55,0,8
1196.56531656461,53,0,11
1218.43274521613,52,0,19
1240.60319515346,50,0,22
1263.12594753262,50,0,25
1288.51618077723,49,0,27
1322.69899446131,49,0,28
1350.78416755979,45,0,31
1371.01900203324,43,0,31
1393.53634123561,42,0,33
1420.61492774592,41,0,35
1441.1325571052,41,0,40
1471.93329015835,41,0,41
1497.89118002961,40,0,41
1520.2069175946,39,0,45
1547.72218524832,37,0,46
1573.61572950979,37,0,47
1601.9665853848,37,0,47
1622.46132831753,34,0,48
1642.79524983105,34,0,50
1667.55874893333,34,0,54
1696.30730474295,34,0,53
1718.02440846091,33,0,53
1739.91653564532,33,0,53
1762.33237715124,33,0,54
1785.22686730634,32,0,58
1809.18079752991,29,0,60
1830.85509240312,28,0,61
1850.9039493626,26,0,62
1873.84583939802,25,0,62
1900.59825335475,25,0,60
1924.96379053969,23,0,61
1969.86161608996,23,0,64
1989.95239094325,23,0,66
2019.4571436742,23,0,65
2051.2190093445,23,0,63
2072.72175322549,23,0,63
2093.67265927147,22,0,61
2116.2506178823,22,0,63
2144.35568352593,20,0,65
2164.60868373219,20,0,66
2192.83011145831,20,0,68
2215.40351392835,18,0,68
2238.22030061663,16,0,69
2261.42198616323,16,0,69
2293.85937218552,16,0,69
2317.81551920713,15,0,70
2339.14114708293,14,0,70
2365.45091814294,14,0,72
2396.51768695683,13,0,72
2419.51185771428,13,0,72
2446.41133043774,12,0,72
2490.89107431289,11,0,71
2511.3512555446,11,0,75
2533.47435954712,9,0,76
2562.44070575701,9,0,74
2588.52797682742,9,0,75
2608.99286985017,9,0,78
2630.83890316689,9,0,76
2652.43607078536,8,0,76
2680.73456270264,8,0,79
2710.61295718016,8,0,82
2738.78407382205,8,0,82
2759.92559700293,8,0,84
2782.20547569237,8,0,84
2804.64369959487,8,0,83
2831.98832311041,8,0,83
2852.06939999146,8,0,83
2872.14748136836,7,0,82
2897.90276471111,7,0,84
2921.07941694768,7,0,87
2946.96382052538,5,0,87
2983.90157673753,5,0,92
3022.66211586266,4,0,93
3051.4969591349,4,0,95
3077.64365906725,4,0,94
3106.85225071405,4,0,93
3130.93715169289,4,0,95
3151.78019772096,4,0,97
3174.50149380505,4,0,97
3200.94422992198,4,0,99
3222.14295155547,4,0,97
3256.81944682251,4,0,98
3276.97703536982,4,0,95
3304.9772962459,4,0,93
3338.88479130639,4,0,94
3359.59588621419,4,0,93
3385.25147723542,4,0,95
3407.01558426909,4,0,95
3429.57487410614,4,0,93
3452.14758422553,4,0,91
3474.15237017498,4,0,91
3496.13617521427,4,0,89
3530.77856144589,4,0,83
3550.94327995023,4,0,83
3573.25626674883,4,0,86
3596.40124166322,4,0,84
3619.75742906971,4,0,85
3643.94810935097,4,0,91
3665.8096656262,4,0,92
3688.80500034638,4,0,89
3711.16820398758,4,0,89
3733.59050307182,4,0,93
3761.69615944743,4,0,92
3782.28571979708,4,0,91
3810.571012016,4,0,87
3832.62888382672,4,0,85
3856.2060274195,4,0,84
3887.70845146106,4,0,84
3909.29384722167,4,0,84
3944.64171503856,4,0,82
3966.28344413491,4,0,83
3991.08910751105,4,0,85
4013.42703007855,4,0,84
4037.96266334262,4,0,89
4062.57481522175,4,0,88
4084.55873088806,4,0,89
4111.10576374575,4,0,91
4132.39080933788,4,0,91
4159.38471164897,4,0,95
4181.97632226891,4,0,94
4201.99493975743,4,0,98
4224.38521457637,4,0,95
4260.43330594609,4,0,95
4282.12905369614,4,0,97
4306.16309495204,4,0,98
4330.5466485652,4,0,99
4352.40702338378,4,0,98
4375.32342491307,3,0,94
4398.11245469174,3,0,93
4422.72881964082,3,0,92
4445.8751082491,3,0,93
4469.7135068796,3,0,94
4491.08781757819,3,0,94
4513.40579577515,3,0,95
4534.85416918338,3,0,94
4556.96188804022,3,0,93
4577.39432870054,3,0,93
4605.48632116876,3,0,93
4628.43401318514,3,0,95
4650.06359145212,3,0,95
4670.5089538567,3,0,94
4693.00045074344,3,0,91
4713.20333300209,3,0,89
4734.13747694259,3,0,88
4758.7644589055,3,0,89
4783.86330133561,3,0,86
4808.67178978429,3,0,88
4839.05229258122,3,0,91
4869.47891245235,3,0,93
4890.58920337303,3,0,97
