TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
MICEXINDEXCF	1999-05-24	109.97	109.97	109.97	109.97	1	109.97
MICEXINDEXCF	1999-05-25	114.19	114.19	110.99	110.99	2	112.59
MICEXINDEXCF	1999-05-26	110.18	110.29	110.18	110.29	3	110.2167
MICEXINDEXCF	1999-05-27	110.51	112.92	110.51	112.92	3	111.3133
MICEXINDEXCF	1999-05-28	112.92	112.92	112.92	112.92	1	112.92
MICEXINDEXCF	1999-06-01	109.25	109.25	109.25	109.25	1	109.25
MICEXINDEXCF	1999-06-02	108.46	108.46	108.46	108.46	1	108.46
MICEXINDEXCF	1999-06-03	105.27	108.1	105.27	108.1	3	107.15
MICEXINDEXCF	1999-06-04	108.1	108.1	108.1	108.1	2	108.1
MICEXINDEXCF	1999-06-07	111.75	111.75	111.75	111.75	1	111.75
MICEXINDEXCF	1999-06-08	113.66	113.66	113.66	113.66	1	113.66
MICEXINDEXCF	1999-06-09	116.01	116.01	116.01	116.01	2	116.01
MICEXINDEXCF	1999-06-10	116.87	116.87	116.87	116.87	1	116.87
MICEXINDEXCF	1999-06-11	119.3	119.3	119.3	119.3	1	119.3
MICEXINDEXCF	1999-06-16	122.19	122.19	122.19	122.19	1	122.19
MICEXINDEXCF	1999-06-17	123.68	123.68	123.68	123.68	1	123.68
MICEXINDEXCF	1999-06-22	132.72	132.72	132.72	132.72	1	132.72
MICEXINDEXCF	1999-06-23	134.93	134.93	131.1	131.1	1025	132.3554
MICEXINDEXCF	1999-06-24	131.1	133.22	130.84	132.62	1012	132.4178
MICEXINDEXCF	1999-06-25	132.62	132.97	129.75	129.77	933	130.6914
MICEXINDEXCF	1999-06-28	130.23	131.2	129.77	129.77	1134	130.5653
MICEXINDEXCF	1999-06-29	129.99	130.56	129.99	130.49	632	130.4128
MICEXINDEXCF	1999-06-30	130.25	132.18	130.25	131.64	1005	131.6707
MICEXINDEXCF	1999-07-01	131.64	136.08	131.64	136.08	1129	135.47
MICEXINDEXCF	1999-07-02	136.08	140.13	136.08	138.57	1099	139.041
MICEXINDEXCF	1999-07-05	138.57	142.09	138.57	142.09	918	141.0116
MICEXINDEXCF	1999-07-06	142.09	150.34	142.09	150.34	1476	149.2911
MICEXINDEXCF	1999-07-07	150.34	152.78	148.62	148.69	1422	149.8388
MICEXINDEXCF	1999-07-08	148.69	150.19	147.94	149.93	1168	149.8659
MICEXINDEXCF	1999-07-09	149.93	149.93	147.21	147.42	808	147.5616
MICEXINDEXCF	1999-07-12	147.42	150.02	146.66	146.66	1024	147.9521
MICEXINDEXCF	1999-07-13	146.66	146.66	140.49	140.49	1237	141.9768
MICEXINDEXCF	1999-07-14	140.49	142.61	140	142.61	1240	141.2249
MICEXINDEXCF	1999-07-15	142.61	142.95	141.22	141.64	975	141.6438
MICEXINDEXCF	1999-07-16	141.64	142.16	140.65	141.27	924	141.0714
MICEXINDEXCF	1999-07-19	141.27	141.34	135.08	135.08	936	136.6619
MICEXINDEXCF	1999-07-20	135.08	135.08	132.04	133.07	1089	132.8412
MICEXINDEXCF	1999-07-21	133.07	133.07	127.26	127.53	940	127.8761
MICEXINDEXCF	1999-07-22	127.53	131.65	127.53	130.91	1246	130.9964
MICEXINDEXCF	1999-07-23	130.91	130.91	127.22	127.68	881	127.5559
MICEXINDEXCF	1999-07-26	127.68	129.86	127.51	128.91	1023	129.3138
MICEXINDEXCF	1999-07-27	128.91	128.91	125.94	125.94	803	126.9765
MICEXINDEXCF	1999-07-28	125.94	126.47	123.46	124.06	984	124.2
MICEXINDEXCF	1999-07-29	124.06	126.23	117.25	117.25	1233	120.8693
MICEXINDEXCF	1999-07-30	117.25	117.25	113.74	114.88	1069	114.5166
MICEXINDEXCF	1999-08-02	114.88	115.87	114.39	114.39	913	115.2141
MICEXINDEXCF	1999-08-03	114.39	114.52	112.22	112.32	1130	113.0677
MICEXINDEXCF	1999-08-04	112.32	112.32	106.45	106.45	1189	108.0378
MICEXINDEXCF	1999-08-05	106.45	106.45	99.68	100.03	1439	101.3241
MICEXINDEXCF	1999-08-06	100.03	106.47	100.03	106.32	1428	105.0509
MICEXINDEXCF	1999-08-09	106.32	106.32	91.96	98.87	1530	94.9448
MICEXINDEXCF	1999-08-10	98.87	112.34	98.87	110.32	1319	111.3651
MICEXINDEXCF	1999-08-11	110.32	110.32	105.01	106.49	1037	106.2252
MICEXINDEXCF	1999-08-12	106.49	110.85	106.49	110.45	1126	110.4386
MICEXINDEXCF	1999-08-13	110.45	110.45	107	107.52	931	107.8163
MICEXINDEXCF	1999-08-16	107.52	108.91	106.64	106.89	686	107.1714
MICEXINDEXCF	1999-08-17	106.89	108.03	106.57	107.58	532	107.6819
MICEXINDEXCF	1999-08-18	107.58	108.1	106.85	107.14	436	107.1707
MICEXINDEXCF	1999-08-19	107.14	107.56	106.84	107.52	492	107.2447
MICEXINDEXCF	1999-08-20	107.52	109.99	107.26	109.99	503	108.8641
MICEXINDEXCF	1999-08-23	109.99	117.73	109.99	117.73	1085	116.096
MICEXINDEXCF	1999-08-24	117.73	121.22	117.73	119.16	1214	119.9979
MICEXINDEXCF	1999-08-25	119.16	119.16	117.15	117.27	817	118.0943
MICEXINDEXCF	1999-08-26	117.27	117.27	112.65	112.65	1032	114.045
MICEXINDEXCF	1999-08-27	112.65	112.65	108.65	108.65	835	109.2275
MICEXINDEXCF	1999-08-30	108.65	108.65	103.96	103.96	813	105.5282
MICEXINDEXCF	1999-08-31	103.96	103.96	98.7	100.72	1134	99.7138
MICEXINDEXCF	1999-09-01	100.72	104.91	100.72	104.91	889	103.8071
MICEXINDEXCF	1999-09-02	104.91	110.1	104.91	108.54	1100	109.4994
MICEXINDEXCF	1999-09-03	108.54	108.56	106.36	108.56	853	107.8379
MICEXINDEXCF	1999-09-06	108.56	135.07	108.56	135.07	613	129.1934
MICEXINDEXCF	1999-09-07	110.3	111.54	110.13	110.72	636	110.8752
MICEXINDEXCF	1999-09-08	110.72	110.72	108.73	108.73	1037	109.2324
MICEXINDEXCF	1999-09-09	108.73	108.73	105.45	107.41	1395	106.5212
MICEXINDEXCF	1999-09-10	107.41	110.92	107.41	110.47	1473	110.5004
MICEXINDEXCF	1999-09-13	110.47	110.47	105.71	105.71	1276	106.7134
MICEXINDEXCF	1999-09-14	105.71	106.56	104.99	104.99	986	105.83
MICEXINDEXCF	1999-09-15	104.99	104.99	101.47	101.58	1342	102.6889
MICEXINDEXCF	1999-09-16	101.58	101.58	98	98	1294	99.1293
MICEXINDEXCF	1999-09-17	98	98	92.92	93.57	1405	93.5392
MICEXINDEXCF	1999-09-20	93.57	95.6	87.87	87.87	1348	90.901
MICEXINDEXCF	1999-09-21	87.87	87.87	83.53	83.53	1295	83.8998
MICEXINDEXCF	1999-09-22	83.53	83.53	80.67	83.33	1632	82.1986
MICEXINDEXCF	1999-09-23	83.33	88.44	83.33	88.44	1597	87.6029
MICEXINDEXCF	1999-09-24	88.44	88.44	86.94	87.6	1443	87.5942
MICEXINDEXCF	1999-09-27	87.6	91.14	87.55	91.14	1321	89.7257
MICEXINDEXCF	1999-09-28	91.14	92.86	90.57	90.57	1348	91.2864
MICEXINDEXCF	1999-09-29	90.57	90.57	88.52	88.62	1268	88.8761
MICEXINDEXCF	1999-09-30	88.62	88.62	87.12	87.13	1165	87.5254
MICEXINDEXCF	1999-10-01	87.13	88.83	87.13	88.74	1010	88.6922
MICEXINDEXCF	1999-10-04	88.74	90.8	88.74	90.79	1080	90.3134
MICEXINDEXCF	1999-10-05	90.79	92.12	90.79	92.12	1272	91.7856
MICEXINDEXCF	1999-10-06	92.12	92.36	91.82	91.82	1008	92.0204
MICEXINDEXCF	1999-10-07	91.82	91.96	91.34	91.96	719	91.7086
MICEXINDEXCF	1999-10-08	91.96	95.34	91.96	95.34	1215	94.7391
MICEXINDEXCF	1999-10-11	95.34	98.33	94.51	98.33	1300	97.0996
MICEXINDEXCF	1999-10-12	98.33	101.88	98.33	100.55	1674	101.1812
MICEXINDEXCF	1999-10-13	100.55	100.55	95.67	96.88	1390	96.4998
MICEXINDEXCF	1999-10-14	96.88	101.31	96.8	101.31	1530	100.0816
MICEXINDEXCF	1999-10-15	101.31	101.94	99.01	99.01	1520	100.4423
MICEXINDEXCF	1999-10-18	99.01	99.01	96.42	96.88	1403	96.8381
MICEXINDEXCF	1999-10-19	96.88	99.25	96.72	99.25	1295	98.6164
MICEXINDEXCF	1999-10-20	99.25	101.02	99.25	101.02	1250	100.1667
MICEXINDEXCF	1999-10-21	101.02	102.14	100.61	100.62	1161	101.3979
MICEXINDEXCF	1999-10-22	100.62	101.07	100.21	101.07	909	100.7375
MICEXINDEXCF	1999-10-25	101.07	102.44	101.07	101.31	925	101.9551
MICEXINDEXCF	1999-10-26	101.31	104.34	100.3	104.3	937	102.0639
MICEXINDEXCF	1999-10-27	104.3	105.19	102.87	105.19	894	104.3111
MICEXINDEXCF	1999-10-28	105.19	106.42	105.19	106.42	808	105.6822
MICEXINDEXCF	1999-10-29	106.42	106.86	106.42	106.86	616	106.721
MICEXINDEXCF	1999-11-01	106.86	106.91	102.61	102.64	445	104.3255
MICEXINDEXCF	1999-11-02	102.64	113.18	102.57	113.17	594	103.7095
MICEXINDEXCF	1999-11-03	113.17	113.17	112.05	112.05	775	112.3184
MICEXINDEXCF	1999-11-04	112.05	112.08	111.31	112.08	966	111.604
MICEXINDEXCF	1999-11-05	112.08	119.89	112.08	119.89	862	119.0337
MICEXINDEXCF	1999-11-09	119.89	124.01	119.89	124.01	1467	123.2167
MICEXINDEXCF	1999-11-10	124.01	127.63	123.97	127.63	1522	127.056
MICEXINDEXCF	1999-11-11	127.63	132.67	121.5	121.5	1751	124.1328
MICEXINDEXCF	1999-11-12	121.5	121.5	119.15	119.87	1038	119.8007
MICEXINDEXCF	1999-11-15	119.87	122.35	119.87	121.93	1490	122.0991
MICEXINDEXCF	1999-11-16	121.93	123.15	121.89	122.45	1368	122.2603
MICEXINDEXCF	1999-11-17	122.45	125.05	120.32	120.32	1610	122.8682
MICEXINDEXCF	1999-11-18	120.32	120.32	114.71	118.06	1278	118.06
MICEXINDEXCF	1999-11-19	118.06	121.42	118.06	121.42	1357	120.333
MICEXINDEXCF	1999-11-22	121.42	125.65	121.42	125.65	1464	124.9445
MICEXINDEXCF	1999-11-23	125.65	128.61	125.56	128.58	1324	128.196
MICEXINDEXCF	1999-11-24	128.58	128.58	125.45	125.45	1599	126.1706
MICEXINDEXCF	1999-11-25	125.45	125.45	122.63	123.41	1780	123.1786
MICEXINDEXCF	1999-11-26	123.41	126.67	123.41	125.54	1760	125.9264
MICEXINDEXCF	1999-11-29	125.54	125.54	122.1	122.62	1490	122.751
MICEXINDEXCF	1999-11-30	122.62	122.62	118.8	120.76	1535	120.0535
MICEXINDEXCF	1999-12-01	120.76	120.76	118.07	119.71	1754	119.1314
MICEXINDEXCF	1999-12-02	119.71	122.94	119.71	122.25	1686	122.3996
MICEXINDEXCF	1999-12-03	122.25	124.86	121.11	124.86	1443	123.9549
MICEXINDEXCF	1999-12-06	124.86	127.6	124.57	126.63	1364	126.9483
MICEXINDEXCF	1999-12-07	126.63	126.63	121.97	121.97	1777	123.3273
MICEXINDEXCF	1999-12-08	121.97	121.97	116.54	117.14	1860	117.3032
MICEXINDEXCF	1999-12-09	117.14	119.02	117.14	118.38	1739	118.4351
MICEXINDEXCF	1999-12-10	118.38	121.1	116.23	116.24	1511	116.8909
MICEXINDEXCF	1999-12-14	116.24	116.8	112.75	116.8	1354	115.3365
MICEXINDEXCF	1999-12-15	116.8	124.37	116.8	124.37	2093	122.9629
MICEXINDEXCF	1999-12-16	124.37	129.08	124.37	126.84	2240	128.0044
MICEXINDEXCF	1999-12-17	126.84	126.84	124.2	126.21	2003	125.9723
MICEXINDEXCF	1999-12-20	126.21	133.42	126.21	133.42	2271	132.4955
MICEXINDEXCF	1999-12-21	133.42	141.48	133.42	141.48	2737	139.7109
MICEXINDEXCF	1999-12-22	141.48	150.31	141.48	149.39	2370	148.7958
MICEXINDEXCF	1999-12-23	149.39	149.39	141.9	145.17	2093	143.234
MICEXINDEXCF	1999-12-24	145.17	148.52	144.6	148.51	2140	146.9776
MICEXINDEXCF	1999-12-27	148.51	153.5	147.75	153.5	1677	151.8957
MICEXINDEXCF	1999-12-28	153.5	163.04	153.5	161.78	1552	159.9579
MICEXINDEXCF	1999-12-29	161.78	161.78	149.07	150.88	920	157.1033
MICEXINDEXCF	1999-12-30	150.88	153.26	148.32	151.87	198	151.9466
MICEXINDEXCF	2000-01-05	151.87	173	151.87	173	2049	167.396
MICEXINDEXCF	2000-01-06	173	186.26	173	186.26	747	183.5889
MICEXINDEXCF	2000-01-10	186.26	204.92	186.26	200.81	2582	199.3207
MICEXINDEXCF	2000-01-11	200.81	203.34	198.21	199.57	2311	200.5956
MICEXINDEXCF	2000-01-12	199.57	199.57	190.9	196.88	2582	193.5969
MICEXINDEXCF	2000-01-13	196.88	210.15	196.88	210.05	2670	207.9781
MICEXINDEXCF	2000-01-14	210.05	217.4	210.05	217.28	2531	216.5684
MICEXINDEXCF	2000-01-17	217.28	222.27	216.82	219.73	2080	220.7369
MICEXINDEXCF	2000-01-18	219.73	219.73	209.96	212.88	2236	213.1065
MICEXINDEXCF	2000-01-19	212.88	212.88	199.92	200.66	2379	201.6013
MICEXINDEXCF	2000-01-20	200.66	206.61	200.66	206.61	2284	205.8117
MICEXINDEXCF	2000-01-21	206.61	215.81	206.61	215.77	2432	213.587
MICEXINDEXCF	2000-01-24	215.77	218.06	210.82	210.82	2465	213.2995
MICEXINDEXCF	2000-01-25	210.82	210.82	197.75	198.65	2792	199.4647
MICEXINDEXCF	2000-01-26	198.65	199.29	196.79	198.8	2279	197.9427
MICEXINDEXCF	2000-01-27	198.8	203.84	198.8	203.82	2000	203.344
MICEXINDEXCF	2000-01-28	203.82	206.73	201.81	201.81	2378	204.5423
MICEXINDEXCF	2000-01-31	201.81	201.81	188.81	188.81	2170	190.5499
MICEXINDEXCF	2000-02-01	188.81	192.71	188.81	191.59	2542	191.9591
MICEXINDEXCF	2000-02-02	191.59	191.93	184.68	186.67	2067	187.3575
MICEXINDEXCF	2000-02-03	186.67	189.79	185.45	189.67	2603	188.5815
MICEXINDEXCF	2000-02-04	189.67	196.13	189.67	196.08	2272	195.3329
MICEXINDEXCF	2000-02-07	196.08	202.28	196.08	200.28	1822	200.3347
MICEXINDEXCF	2000-02-08	200.28	204.87	200.09	204.87	2735	202.6902
MICEXINDEXCF	2000-02-09	204.87	217.46	204.87	216.53	2783	216.5736
MICEXINDEXCF	2000-02-10	216.53	216.53	208.88	210.25	2386	210.1716
MICEXINDEXCF	2000-02-11	210.25	213.82	209.78	210.91	2310	211.3225
MICEXINDEXCF	2000-02-14	210.91	218.63	210.91	214.12	2489	215.7092
MICEXINDEXCF	2000-02-15	214.12	214.12	203.2	203.2	1	214.12
MICEXINDEXCF	2000-02-16	203.2	203.2	200.74	202.7	1	203.2
MICEXINDEXCF	2000-02-17	202.7	202.7	199.67	201.51	1	202.7
MICEXINDEXCF	2000-02-18	201.51	204.16	200.16	200.6	2	201.51
MICEXINDEXCF	2000-02-21	200.6	200.6	193.8	195.3	2	200.6
MICEXINDEXCF	2000-02-22	195.3	199.57	194.54	199.57	2	195.515
MICEXINDEXCF	2000-02-23	199.57	202.73	199.57	202.68	1	199.57
MICEXINDEXCF	2000-02-24	202.68	207.45	202.68	207.16	543	205.0013
MICEXINDEXCF	2000-02-25	207.16	207.16	198.56	198.56	1	207.16
MICEXINDEXCF	2000-02-28	198.56	198.56	191.11	191.12	2	198.56
MICEXINDEXCF	2000-02-29	191.12	191.77	189.97	191.49	2	191.12
MICEXINDEXCF	2000-03-01	191.49	200.04	191.49	198.99	3	191.49
MICEXINDEXCF	2000-03-02	198.99	204.21	198.99	201.49	2	198.99
MICEXINDEXCF	2000-03-03	201.49	205.49	201.1	205.49	492	202.4627
MICEXINDEXCF	2000-03-06	205.49	211.48	205.49	210.98	1	205.49
MICEXINDEXCF	2000-03-07	210.98	211.95	206.49	211.95	2	210.98
MICEXINDEXCF	2000-03-09	211.95	232.16	211.95	232.16	2	211.95
MICEXINDEXCF	2000-03-10	232.16	241.53	232.16	241.53	697	238.3514
MICEXINDEXCF	2000-03-13	241.53	245.01	239.8	239.8	590	241.6155
MICEXINDEXCF	2000-03-14	239.8	245.92	238.34	245.92	502	242.5239
MICEXINDEXCF	2000-03-15	245.92	246.48	243.51	246.46	1	245.92
MICEXINDEXCF	2000-03-16	246.46	249.74	246.46	247.66	536	248.8815
MICEXINDEXCF	2000-03-17	247.66	252.14	247.66	249.94	1	247.66
MICEXINDEXCF	2000-03-20	249.94	249.94	243.86	243.86	1	249.94
MICEXINDEXCF	2000-03-21	243.86	243.86	239.65	240.17	1	243.86
MICEXINDEXCF	2000-03-22	240.17	245.8	240.17	245.8	1	240.17
MICEXINDEXCF	2000-03-23	245.8	261.37	245.8	260.16	1	245.8
MICEXINDEXCF	2000-03-24	260.16	268.86	260.16	268.86	2	260.16
MICEXINDEXCF	2000-03-27	268.86	281.56	268.86	277.82	1	268.86
MICEXINDEXCF	2000-03-28	277.82	277.82	256.13	261.86	1	277.82
MICEXINDEXCF	2000-03-29	261.86	261.86	254.31	256.89	1	261.86
MICEXINDEXCF	2000-03-30	256.89	258.46	252.08	252.08	1	256.89
MICEXINDEXCF	2000-03-31	252.08	254.68	244.54	254.68	1	252.08
MICEXINDEXCF	2000-04-03	254.68	263.47	254.68	257.3	1	254.68
MICEXINDEXCF	2000-04-04	257.3	258.3	253.96	258.02	701	255.5696
MICEXINDEXCF	2000-04-05	258.02	258.02	245.7	245.7	1	258.02
MICEXINDEXCF	2000-04-06	245.7	249.43	244.2	249.43	1	245.7
MICEXINDEXCF	2000-04-07	249.43	251.8	247.36	247.96	1	249.43
MICEXINDEXCF	2000-04-10	247.96	253.28	247.59	253.28	3	247.96
MICEXINDEXCF	2000-04-11	253.28	254.72	249.68	249.68	3	253.28
MICEXINDEXCF	2000-04-12	249.68	249.8	247.83	248.1	2	249.68
MICEXINDEXCF	2000-04-13	248.1	248.1	243.72	243.73	1	248.1
MICEXINDEXCF	2000-04-14	243.73	246.67	241.41	245.87	1	243.73
MICEXINDEXCF	2000-04-17	245.87	245.87	225.93	226.04	2	245.87
MICEXINDEXCF	2000-04-18	226.04	234.05	226.04	227.98	1	226.04
MICEXINDEXCF	2000-04-19	227.98	233.33	226.21	226.21	1	227.98
MICEXINDEXCF	2000-04-20	226.21	226.74	222.33	226.64	1	226.21
MICEXINDEXCF	2000-04-21	226.64	230.45	226.64	230.45	2	226.64
MICEXINDEXCF	2000-04-24	230.45	230.69	225.28	225.28	2	230.45
MICEXINDEXCF	2000-04-25	225.28	227.77	225.28	227.77	2	225.28
MICEXINDEXCF	2000-04-26	227.77	237.01	227.77	237.01	772	232.8528
MICEXINDEXCF	2000-04-27	237.01	242.52	237.01	238.62	650	239.7221
MICEXINDEXCF	2000-04-28	238.62	243.39	238.62	242.85	1	238.62
MICEXINDEXCF	2000-05-03	242.85	246.99	242.85	244.88	2	242.85
MICEXINDEXCF	2000-05-04	244.88	268.77	241.76	250.26	2	244.88
MICEXINDEXCF	2000-05-05	250.26	251.73	249.9	249.96	2	250.26
MICEXINDEXCF	2000-05-06	251.55	254.45	251.51	254.45	1	251.55
MICEXINDEXCF	2000-05-10	255.02	255.77	251.34	251.34	255	255.644
MICEXINDEXCF	2000-05-11	251.34	251.34	244.6	244.7	1	251.34
MICEXINDEXCF	2000-05-12	244.7	247.37	241.2	241.3	1	244.7
MICEXINDEXCF	2000-05-15	241.3	241.3	236.26	236.26	2	241.3
MICEXINDEXCF	2000-05-16	236.26	239.9	236.17	239.9	346	237.4994
MICEXINDEXCF	2000-05-17	239.9	242.57	235.77	235.77	1	239.9
MICEXINDEXCF	2000-05-18	235.77	235.77	225.07	228.2	1	235.77
MICEXINDEXCF	2000-05-19	228.2	228.68	218.3	218.3	1	228.2
MICEXINDEXCF	2000-05-22	218.3	218.3	209.17	210.69	1	218.3
MICEXINDEXCF	2000-05-23	210.69	210.69	201.84	201.9	1	210.69
MICEXINDEXCF	2000-05-24	201.9	201.9	185.55	190.54	572	189.241
MICEXINDEXCF	2000-05-25	190.54	204.83	190.54	204.83	2	190.54
MICEXINDEXCF	2000-05-26	204.83	209.3	202.36	209.3	1	204.83
MICEXINDEXCF	2000-05-29	209.3	217.02	209.3	213.67	1	209.3
MICEXINDEXCF	2000-05-30	213.67	213.67	210.56	213.45	538	211.6605
MICEXINDEXCF	2000-05-31	213.45	219.8	213.45	217.05	2	213.45
MICEXINDEXCF	2000-06-01	217.05	221.1	217.05	221.1	1	217.05
MICEXINDEXCF	2000-06-02	221.1	224.94	221.1	224.94	2	221.1
MICEXINDEXCF	2000-06-05	224.94	234.99	224.94	233.28	533	233.1097
MICEXINDEXCF	2000-06-06	233.28	233.28	227.57	227.57	533	229.7389
MICEXINDEXCF	2000-06-07	227.57	227.57	217.27	218.56	2	227.57
MICEXINDEXCF	2000-06-08	218.56	228.89	218.56	228.73	2	218.56
MICEXINDEXCF	2000-06-09	228.73	228.73	226.94	228.35	689	228.2105
MICEXINDEXCF	2000-06-13	228.35	228.35	225.46	226.09	1	228.35
MICEXINDEXCF	2000-06-14	226.09	226.09	218.33	218.98	2	226.09
MICEXINDEXCF	2000-06-15	218.98	221.6	218.98	221.31	1	218.98
MICEXINDEXCF	2000-06-16	221.31	223.61	221.31	223.08	1	221.31
MICEXINDEXCF	2000-06-19	223.08	223.08	218.95	218.95	523	222.0383
MICEXINDEXCF	2000-06-20	218.95	220.61	215.06	215.06	1	218.95
MICEXINDEXCF	2000-06-21	215.06	215.06	203.69	204.15	1	215.06
